distanceFront, distanceLeft, distanceRight, torque
1000, 0.7400604, 0.7299457, 0

1000, 0.7401825, 0.7298241, 0

1000, 0.7403046, 0.7297021, 0

1000, 0.7404271, 0.72958, 0

1000, 0.7405492, 0.7294574, 0

1000, 0.7405492, 0.7294574, 0

1000, 0.7406713, 0.7293354, 0

1.980532, 0.7407933, 0.7292138, 0

1.940531, 0.7409149, 0.7290917, 0

1.900531, 0.741037, 0.7289696, 0

1.860531, 0.9511601, 0.7288476, 0

1.860531, 0.9511601, 0.7288476, 0

1.820531, 0.9512822, 0.7287255, 0

1.780531, 0.9514042, 0.7286034, 0

1.740531, 0.9515263, 0.7284814, 0

1.700531, 0.9516484, 0.7283593, 0

1.660531, 0.9517704, 0.5182362, 0

1.660531, 0.9517704, 0.5182362, 0

1.620531, 0.9518925, 0.5181141, 0

1.580531, 0.9520141, 0.517992, 0

1.540531, 0.9521367, 0.5178695, 0

1.500531, 0.9522583, 0.5177475, 0

1.500531, 0.9522583, 0.5177475, 0

1.460531, 1.162382, 0.5176259, 129.8781

1.420531, 1.162504, 0.5175038, 129.891

1.381757, 1.163658, 0.5178411, 129.934

1.55652, 1.165393, 0.5210626, 129.8557

1.524142, 1.167722, 0.5272098, 129.6548

1.524142, 1.167722, 0.5272098, 129.6548

1.494716, 1.170659, 0.5363487, 129.3292

1.468162, 1.121079, 0.5485746, 126.1284

1.444421, 1.083268, 0.5640082, 123.4347

1.423009, 1.060237, 0.5826216, 0

1.627823, 1.04573, 0.6045029, 0

1.627823, 1.04573, 0.6045029, 0

1.587824, 1.15348, 0.619352, 124.181

1.547824, 1.157826, 0.6342011, 123.6533

1.533913, 1.162753, 0.6602798, 122.5974

1.52299, 1.168203, 0.6903133, 0

1.515006, 1.174092, 0.6236328, 125.0061

1.515006, 1.174092, 0.6236328, 125.0061

1.475006, 1.153031, 0.5476627, 127.8204

1.470135, 1.15968, 0.5422983, 128.4445

1.469812, 1.167865, 0.5813329, 126.8479

1.473851, 1.177244, 0.6258299, 125.0545

1.481843, 1.173228, 0.6761389, 0

1.481843, 1.173228, 0.6761389, 0

1.769837, 1.160722, 0.7328874, 0

1.729836, 1.163882, 0.7356547, 0

1.689836, 1.129817, 0.6886855, 0

1.649836, 1.095752, 0.6417167, 0

1.609836, 1.061687, 0.5947475, 0

1.609836, 1.061687, 0.5947475, 0

1.569836, 1.071677, 0.6273789, 0

1.529836, 1.118647, 0.6614441, 0

1.489836, 1.165615, 0.6955091, 0

1.449836, 1.201261, 0.7295742, 0

1.409836, 1.167195, 0.683793, 0

1.409836, 1.167195, 0.683793, 0

1.369835, 1.133131, 0.6368235, 0

1.329836, 1.099065, 0.5898547, 122.9327

1.289835, 1.07657, 0.5900008, 0

1.298416, 1.071007, 0.6483235, 0

1.298416, 1.071007, 0.6483235, 0

1.258416, 1.113729, 0.6854616, 0

1.218416, 1.156812, 0.6950462, 0

1.178416, 1.199895, 0.6519629, 124.8781

1.138416, 1.209013, 0.6088796, 127.5493

1.145814, 1.222443, 0.5409448, 131.8275

1.145814, 1.222443, 0.5409448, 131.8275

1.159171, 1.216853, 0.480828, 134.7745

1.180495, 1.204272, 0.4274231, 137.0239

1.210977, 1.192407, 0.468321, 134.1236

1.252507, 1.181482, 0.5582138, 128.7514

1.304282, 1.172754, 0.5483187, 128.8124

1.304282, 1.172754, 0.5483187, 128.8124

1.366375, 1.166409, 0.5105247, 130.4654

1.446125, 1.160921, 0.4772823, 131.9419

1.551152, 1.155933, 0.448048, 133.2455

1.691106, 1.151493, 0.4225476, 134.3881

1.881403, 1.147638, 0.4005444, 135.3806

1.881403, 1.147638, 0.4005444, 135.3806

1000, 1.144396, 0.3818345, 136.2324

1000, 1.141792, 0.3662472, 136.9515

1000, 1.139843, 0.3536426, 137.5444

1000, 1.240218, 0.3819812, 141.6211

1000, 1.348678, 0.5476714, 138.3727

1000, 1.348678, 0.5476714, 138.3727

1000, 1.348144, 0.5428534, 138.6132

1000, 1.3489, 0.5413362, 138.741

1000, 1.350876, 0.5430161, 138.7577

1000, 1.354097, 0.547927, 138.6627

1000, 1.358593, 0.5561362, 138.454

1000, 1.358593, 0.5561362, 138.454

1000, 1.364398, 0.5677454, 138.1286

1000, 1.367759, 0.5866932, 137.2584

1000, 0.7316146, 0.7383925, 0

1000, 0.7316146, 0.7383925, 0

1000, 0.7317367, 0.7382704, 0

1000, 0.7318584, 0.7381483, 0

1000, 0.7319809, 0.7380263, 0

1000, 0.7321029, 0.7379037, 0

1000, 0.732225, 0.7377821, 0

1000, 0.732225, 0.7377821, 0

1000, 0.7323471, 0.73766, 0

1000, 0.7324687, 0.7375375, 0

1000, 0.7325907, 0.7374159, 0

1000, 0.7327128, 0.7372938, 0

1000, 0.7328349, 0.7371717, 0

1000, 0.7328349, 0.7371717, 0

1000, 0.7329569, 0.7370497, 0

1000, 0.7330791, 0.7369276, 0

1000, 0.7332011, 0.7368055, 0

1000, 0.7333237, 0.736683, 0

1000, 0.7334458, 0.7365609, 0

1000, 0.7334458, 0.7365609, 0

1000, 0.7335678, 0.7364389, 0

1000, 0.7336894, 0.7363173, 0

1000, 0.7338114, 0.7361952, 0

1000, 0.733934, 0.7360731, 0

1000, 0.7340561, 0.7359511, 0

1000, 0.7340561, 0.7359511, 0

1000, 0.7341776, 0.735829, 0

1000, 0.7343002, 0.7357069, 0

1000, 0.7344223, 0.7355844, 0

1000, 0.7345439, 0.7354628, 0

1000, 0.7345439, 0.7354628, 0

1000, 0.7346665, 0.7353407, 0

1000, 0.7347881, 0.7352182, 0

1000, 0.7349106, 0.7350966, 0

1000, 0.7350322, 0.7349745, 0

1000, 0.7351547, 0.7348524, 0

1000, 0.7351547, 0.7348524, 0

1000, 0.7352768, 0.7347304, 0

1000, 0.7353984, 0.7346078, 0

1000, 0.735521, 0.7344862, 0

1000, 0.735643, 0.7343642, 0

1000, 0.7357646, 0.734242, 0

1000, 0.7357646, 0.734242, 0

1000, 0.7358866, 0.73412, 0

1000, 0.7360092, 0.7339974, 0

1000, 0.7361313, 0.7338758, 0

1000, 0.7362534, 0.7337537, 0

1000, 0.7363755, 0.7336312, 0

1000, 0.7363755, 0.7336312, 0

1000, 0.7364975, 0.7335096, 0

1000, 0.7366196, 0.7333875, 0

1.971251, 0.7367412, 0.7332655, 0

1.931251, 0.7368637, 0.7331434, 0

1.891251, 0.9469863, 0.7330213, 0

1.891251, 0.9469863, 0.7330213, 0

1.851251, 0.9471084, 0.7328992, 0

1.811251, 0.9472305, 0.7327772, 0

1.771251, 0.9473525, 0.7326551, 0

1.731251, 0.9474747, 0.7325331, 0

1.731251, 0.9474747, 0.7325331, 0

1.691251, 0.9475967, 0.732411, 0

1.651251, 0.9477187, 0.5222879, 0

1.611251, 0.9478408, 0.5221658, 0

1.571251, 0.9479629, 0.5220438, 0

1.531251, 0.948085, 0.5219217, 0

1.531251, 0.948085, 0.5219217, 0

1.491251, 0.948207, 0.5217996, 0

1.451251, 1.15833, 0.5216776, 129.4521

1.411251, 1.158452, 0.5215555, 129.4649

1.37246, 1.159595, 0.5218931, 129.5072

1.547163, 1.161302, 0.5251104, 129.4279

1.547163, 1.161302, 0.5251104, 129.4279

1.514688, 1.163584, 0.5312476, 129.2257

1.485124, 1.166454, 0.5403714, 128.8984

1.458392, 1.166841, 0.5525756, 128.2823

1.434429, 1.121963, 0.5679798, 125.1848

1.413166, 1.090993, 0.5867228, 122.6867

1.413166, 1.090993, 0.5867228, 122.6867

1.618178, 1.071123, 0.608793, 0

1.605169, 1.057971, 0.6343304, 0

1.565169, 1.152921, 0.6511813, 122.5609

1.525169, 1.15496, 0.6680326, 0

1.513799, 1.160048, 0.6980857, 0

1.513799, 1.160048, 0.6980857, 0

1.473799, 1.141147, 0.661226, 0

1.4338, 1.122244, 0.5765798, 124.7633

1.393799, 1.103343, 0.5225242, 126.5543

1.383545, 1.108267, 0.5533226, 125.2336

1.376894, 1.114176, 0.588657, 123.7483

1.376894, 1.114176, 0.588657, 123.7483

1.373257, 1.120458, 0.6286921, 0

1.372723, 1.127067, 0.6738607, 0

1.332723, 1.098757, 0.7021707, 0

1.292724, 1.081556, 0.7304808, 0

1.292724, 1.081556, 0.7304808, 0

1.252724, 1.138073, 0.6794658, 0

1.212724, 1.194589, 0.6229491, 126.0842

1.172724, 1.242792, 0.5664328, 131.5531

1.17026, 1.232284, 0.6058792, 128.9153

1.44915, 1.213398, 0.6611362, 125.0975

1.44915, 1.213398, 0.6611362, 125.0975

1.466805, 1.198352, 0.6487252, 124.9639

1.488793, 1.186876, 0.57932, 127.9338

1.517534, 1.176923, 0.5604816, 128.3955

1.556186, 1.167232, 0.6371208, 123.9789

1.60515, 1.15864, 0.6788567, 0

1.60515, 1.15864, 0.6788567, 0

1.66251, 1.152363, 0.629054, 123.6375

1.62251, 1.179744, 0.6016729, 126.4134

1.690525, 1.17359, 0.5583376, 128.3336

1.778024, 1.167589, 0.5196564, 130.0455

1.889995, 1.162, 0.485373, 131.5674

1.889995, 1.162, 0.485373, 131.5674

1000, 1.156894, 0.5313565, 128.8699

1000, 1.152322, 0.6546324, 0

1000, 1.148883, 0.6282473, 123.5035

1000, 1.16268, 0.6144506, 124.8931

1000, 1.160321, 0.5924053, 125.894

1000, 1.160321, 0.5924053, 125.894

1000, 1.158317, 0.5736249, 126.7533

1000, 1.156734, 0.5580027, 127.4769

1000, 1.155602, 0.5454331, 128.0694

1000, 1.154945, 0.535833, 128.5347

1000, 1.154786, 0.5291423, 128.8755

1000, 1.154786, 0.5291423, 128.8755

1000, 1.155141, 0.5253226, 129.0939

1000, 1.366076, 0.7344074, 129.1908

1000, 1.367925, 0.7367233, 129.1662

1000, 1.370762, 0.7423647, 129.0195

1000, 1.370762, 0.7423647, 129.0195

1000, 1.374608, 0.7513949, 128.7486

1000, 1.379484, 0.7639057, 128.3506

1000, 1.385412, 0.7800182, 127.8217

1.719869, 1.392417, 0.799885, 127.1568

1.463721, 1.400523, 0.8236934, 126.3499

1.463721, 1.400523, 0.8236934, 126.3499

1.264373, 1.409758, 0.8516657, 125.3936

1.103768, 1.88099, 0.8840645, 149.8131

0.893945, 1.377924, 1.515719, 0

0.893945, 1.377924, 1.515719, 0

1000, 0.7355505, 0.7344562, 0

1000, 0.7356726, 0.7343345, 0

1000, 0.7357942, 0.734212, 0

1000, 0.7359162, 0.7340904, 0

1000, 0.7360388, 0.7339683, 0

1000, 0.7360388, 0.7339683, 0

1000, 0.7361609, 0.7338458, 0

1000, 0.7362829, 0.7337242, 0

1000, 0.736405, 0.7336021, 0

1000, 0.7365271, 0.7334801, 0

1000, 0.7366487, 0.7333575, 0

1000, 0.7366487, 0.7333575, 0

1000, 0.7367707, 0.7332359, 0

1000, 0.7368933, 0.7331138, 0

1000, 0.7370154, 0.7329918, 0

1000, 0.7371374, 0.7328697, 0

1000, 0.7371374, 0.7328697, 0

1000, 0.7372595, 0.7327477, 0

1000, 0.7373816, 0.7326256, 0

1000, 0.7375032, 0.7325035, 0

1000, 0.7376252, 0.7323814, 0

1000, 0.7377478, 0.7322593, 0

1000, 0.7377478, 0.7322593, 0

1000, 0.7378699, 0.7321373, 0

1000, 0.7379915, 0.7320147, 0

1000, 0.738114, 0.7318932, 0

1000, 0.738236, 0.7317711, 0

1000, 0.7383576, 0.731649, 0

1000, 0.7383576, 0.731649, 0

1000, 0.7384802, 0.7315269, 0

1000, 0.7386018, 0.7314048, 0

1000, 0.7387243, 0.7312828, 0

1000, 0.7388459, 0.7311608, 0

1000, 0.7389685, 0.7310386, 0

1000, 0.7389685, 0.7310386, 0

1000, 0.7390901, 0.7309166, 0

1000, 0.7392126, 0.7307945, 0

1000, 0.7393347, 0.7306724, 0

1000, 0.7394563, 0.7305504, 0

1000, 0.7395788, 0.7304283, 0

1000, 0.7395788, 0.7304283, 0

1000, 0.7397009, 0.7303062, 0

1000, 0.739823, 0.7301841, 0

1000, 0.7399446, 0.7300621, 0

1000, 0.7400666, 0.72994, 0

1000, 0.7401887, 0.7298179, 0

1000, 0.7401887, 0.7298179, 0

1000, 0.7403113, 0.7296959, 0

1000, 0.7404333, 0.7295738, 0

1000, 0.7405554, 0.7294517, 0

1.980336, 0.7406775, 0.7293296, 0

1.980336, 0.7406775, 0.7293296, 0

1.300337, 1.162754, 0.5172539, 129.9173

1.260337, 1.372877, 0.5171314, 141.4781

1.221421, 1.164032, 0.5174686, 129.9733

1.185335, 1.166191, 0.5208793, 129.9074

1.185335, 1.166191, 0.5208793, 129.9074

1.363291, 1.16858, 0.5272886, 129.6958

1.332976, 1.171581, 0.5366986, 129.3592

1.305183, 1.175202, 0.5492047, 128.894

1.279842, 1.179454, 0.5649337, 128.2956

1.256896, 1.184344, 0.5840379, 127.5583

1.256896, 1.184344, 0.5840379, 127.5583

1.236303, 1.189877, 0.6067066, 126.6751

1.446685, 1.196057, 0.6331602, 125.6381

1.435388, 1.202881, 0.5551968, 130.0324

1.427017, 1.210341, 0.4599023, 135.5644

1.423282, 1.219846, 0.4940687, 134.2156

1.423282, 1.219846, 0.4940687, 134.2156

1.425252, 1.232149, 0.5337661, 132.7331

1.431399, 1.243735, 0.5790619, 130.9312

1.442014, 1.22252, 0.6306145, 127.1245

