distanceFront, distanceLeft, distanceRight, torque
1000, 0.5416366, 0.7219548, 0

1000, 0.5386144, 0.724977, 0

1000, 0.5386144, 0.724977, 0

1000, 0.5355922, 0.7279992, 0

1000, 0.53257, 0.7310214, 0

1000, 0.5295478, 0.7340437, 0

1000, 0.5265256, 0.7370658, 0

1000, 0.5235034, 0.740088, 0

1000, 0.5235034, 0.740088, 0

1000, 0.5204812, 0.7431102, 0

1000, 0.5174587, 0.7461324, 0

1000, 0.5144365, 0.7491546, 0

1000, 0.5114143, 0.7521768, 0

1000, 0.5083922, 0.755199, 0

1000, 0.5083922, 0.755199, 0

1000, 0.5053702, 0.7582212, 0

1000, 0.5023478, 0.7612434, 0

1000, 0.4993258, 0.7642657, 0

1000, 0.4963036, 0.7672879, 0

1000, 0.4932814, 0.77031, 0

1000, 0.4932814, 0.77031, 0

1000, 0.4902592, 0.7733322, 0

1000, 0.487237, 0.7763544, 0

1000, 0.4842148, 0.7793766, 0

1000, 0.4811926, 0.7823988, 0

1000, 0.4781704, 0.785421, 0

1000, 0.4781704, 0.785421, 0

1000, 0.4751482, 0.7884432, 0

1000, 0.472126, 0.7914655, 0

1000, 0.4691038, 0.7944877, 0

